z;acetoneold;acetone;methanolold;methanol;N2old;N2;xN2;yN2;xMeth;yMeth;xAc;yAc
0.070626;0.22412;0.28245;0.3714;0.4475;0.40448;0.27005;;;;;;
0.070863;0.2238;0.28229;0.37087;0.44717;0.40533;0.27055;;;;;;
0.0711;0.22349;0.28213;0.37034;0.44683;0.40617;0.27104;;;;;;
0.071337;0.22317;0.28197;0.36982;0.4465;0.40701;0.27153;;;;;;
0.071574;0.22285;0.28181;0.36929;0.44616;0.40786;0.27203;;;;;;
0.071811;0.22253;0.28164;0.36877;0.44583;0.4087;0.27253;;;;;;
0.072048;0.22222;0.28148;0.36824;0.44549;0.40954;0.27303;;;;;;
0.072285;0.2219;0.28132;0.36772;0.44515;0.41039;0.27352;;;;;;
0.072522;0.22158;0.28116;0.36719;0.44482;0.41123;0.27402;;;;;;
0.072759;0.22126;0.281;0.36666;0.44448;0.41207;0.27452;;;;;;
0.072996;0.22095;0.28084;0.36614;0.44414;0.41292;0.27502;;;;;;
0.073233;0.22063;0.28067;0.36561;0.4438;0.41376;0.27552;;;;;;
0.07347;0.22031;0.28051;0.36509;0.44346;0.4146;0.27603;;;;;;
0.073707;0.21999;0.28035;0.36456;0.44312;0.41545;0.27653;;;;;;
0.073944;0.21968;0.28018;0.36403;0.44278;0.41629;0.27703;;;;;;
0.074181;0.21936;0.28002;0.36351;0.44244;0.41713;0.27754;;;;;;
0.074418;0.21904;0.27985;0.36298;0.4421;0.41797;0.27804;;;;;;
0.074655;0.21873;0.27969;0.36246;0.44176;0.41882;0.27855;;;;;;
0.074892;0.21841;0.27953;0.36193;0.44142;0.41966;0.27906;;;;;;
0.075129;0.21809;0.27936;0.36141;0.44107;0.4205;0.27957;;;;;;
0.075366;0.21777;0.27919;0.36088;0.44073;0.42135;0.28008;;;;;;
0.075603;0.21746;0.27903;0.36035;0.44039;0.42219;0.28059;;;;;;
0.07584;0.21714;0.27886;0.35983;0.44004;0.42303;0.2811;;;;;;
0.076077;0.21682;0.2787;0.3593;0.4397;0.42388;0.28161;;;;;;
0.076314;0.2165;0.27853;0.35878;0.43935;0.42472;0.28212;;;;;;
0.076551;0.21619;0.27836;0.35825;0.43901;0.42556;0.28263;;;;;;
0.076788;0.21587;0.27819;0.35772;0.43866;0.42641;0.28315;;;;;;
0.077025;0.21555;0.27802;0.3572;0.43831;0.42725;0.28366;;;;;;
0.077262;0.21523;0.27786;0.35667;0.43797;0.42809;0.28418;;;;;;
